"Total";"Total";"Total"; 2193744; 132277; 2193744; 2193744; 1188; 863; 0; S; 1; 1
"Total";"Total";"              1"; 1098201; 66021; 1098201; 1098201; 863; 674; 0; S; 1; 1
"Total";"Total";"              2"; 1095543; 66256; 1095543; 1095543; 1188; 689; 0; S; 1; 1
"Total";"0-9";"Total"; 253413; 15257; 253413; 253413; 1188; 613; 0; S; 1; 1
"Total";"0-9";"              1"; 64444; 3897; 64444; 64444; 421; 385; 0; S; 1; 1
"Total";"0-9";"              2"; 188969; 11360; 188969; 188969; 1188; 613; 0; S; 1; 1
"Total";"000";"Total"; 12350; 793; 12350; 12350; 190; 153; 0; S; 1; 1
"Total";"000";"              1"; 723; 58; 723; 723; 53; 43; 0; S; 1; 1
"Total";"000";"              2"; 11627; 735; 11627; 11627; 190; 153; 0; S; 1; 1
"Total";"001";"Total"; 27837; 1604; 27837; 27837; 613; 591; 0; S; 1; 1
"Total";"001";"              1"; 2513; 149; 2513; 2513; 182; 78; 0; S; 1; 1
"Total";"001";"              2"; 25324; 1455; 25324; 25324; 613; 591; 0; S; 1; 1
"Total";"002";"Total"; 25434; 1554; 25434; 25434; 377; 193; 0; S; 1; 1
"Total";"002";"              1"; 3879; 224; 3879; 3879; 167; 135; 0; S; 1; 1
"Total";"002";"              2"; 21555; 1330; 21555; 21555; 377; 193; 0; S; 1; 1
"Total";"003";"Total"; 30107; 1611; 30107; 30107; 1188; 328; 0; S; 1; 1
"Total";"003";"              1"; 5012; 274; 5012; 5012; 149; 125; 0; S; 1; 1
"Total";"003";"              2"; 25095; 1337; 25095; 25095; 1188; 328; 0; S; 1; 1
"Total";"004";"Total"; 25663; 1614; 25663; 25663; 151; 150; 0; S; 1; 1
"Total";"004";"              1"; 6744; 407; 6744; 6744; 143; 138; 0; S; 1; 1
"Total";"004";"              2"; 18919; 1207; 18919; 18919; 151; 150; 0; S; 1; 1
"Total";"005";"Total"; 25055; 1576; 25055; 25055; 225; 199; 0; S; 1; 1
"Total";"005";"              1"; 6108; 433; 6108; 6108; 190; 109; 0; S; 1; 1
"Total";"005";"              2"; 18947; 1143; 18947; 18947; 225; 199; 0; S; 1; 1
"Total";"006";"Total"; 25696; 1620; 25696; 25696; 180; 145; 0; S; 1; 1
"Total";"006";"              1"; 7664; 463; 7664; 7664; 145; 141; 0; S; 1; 1
"Total";"006";"              2"; 18032; 1157; 18032; 18032; 180; 145; 0; S; 1; 1
"Total";"007";"Total"; 27659; 1646; 27659; 27659; 385; 338; 0; S; 1; 1
"Total";"007";"              1"; 9923; 546; 9923; 9923; 385; 338; 0; S; 1; 1
"Total";"007";"              2"; 17736; 1100; 17736; 17736; 268; 251; 0; S; 1; 1
"Total";"008";"Total"; 28965; 1656; 28965; 28965; 421; 257; 0; S; 1; 1
"Total";"008";"              1"; 11525; 663; 11525; 11525; 421; 257; 0; S; 1; 1
"Total";"008";"              2"; 17440; 993; 17440; 17440; 248; 236; 0; S; 1; 1
"Total";"009";"Total"; 24647; 1583; 24647; 24647; 255; 212; 0; S; 1; 1
"Total";"009";"              1"; 10353; 680; 10353; 10353; 212; 129; 0; S; 1; 1
"Total";"009";"              2"; 14294; 903; 14294; 14294; 255; 168; 0; S; 1; 1
"Total";"10-19";"Total"; 285781; 17045; 285781; 285781; 424; 379; 0; S; 1; 1
"Total";"10-19";"              1"; 125627; 7502; 125627; 125627; 366; 317; 0; S; 1; 1
"Total";"10-19";"              2"; 160154; 9543; 160154; 160154; 424; 379; 0; S; 1; 1
"Total";"010";"Total"; 25678; 1619; 25678; 25678; 215; 202; 0; S; 1; 1
"Total";"010";"              1"; 12150; 747; 12150; 12150; 215; 170; 0; S; 1; 1
"Total";"010";"              2"; 13528; 872; 13528; 13528; 202; 195; 0; S; 1; 1
"Total";"011";"Total"; 23371; 1486; 23371; 23371; 295; 268; 0; S; 1; 1
"Total";"011";"              1"; 10921; 702; 10921; 10921; 139; 121; 0; S; 1; 1
"Total";"011";"              2"; 12450; 784; 12450; 12450; 295; 268; 0; S; 1; 1
"Total";"012";"Total"; 27730; 1679; 27730; 27730; 325; 196; 0; S; 1; 1
"Total";"012";"              1"; 12078; 781; 12078; 12078; 108; 107; 0; S; 1; 1
"Total";"012";"              2"; 15652; 898; 15652; 15652; 325; 196; 0; S; 1; 1
"Total";"013";"Total"; 28555; 1682; 28555; 28555; 379; 366; 0; S; 1; 1
"Total";"013";"              1"; 12989; 736; 12989; 12989; 366; 299; 0; S; 1; 1
"Total";"013";"              2"; 15566; 946; 15566; 15566; 379; 239; 0; S; 1; 1
"Total";"014";"Total"; 28449; 1677; 28449; 28449; 270; 183; 0; S; 1; 1
"Total";"014";"              1"; 12411; 712; 12411; 12411; 270; 155; 0; S; 1; 1
"Total";"014";"              2"; 16038; 965; 16038; 16038; 183; 153; 0; S; 1; 1
"Total";"015";"Total"; 29698; 1763; 29698; 29698; 255; 201; 0; S; 1; 1
"Total";"015";"              1"; 12740; 749; 12740; 12740; 255; 201; 0; S; 1; 1
"Total";"015";"              2"; 16958; 1014; 16958; 16958; 201; 172; 0; S; 1; 1
"Total";"016";"Total"; 28050; 1708; 28050; 28050; 303; 253; 0; S; 1; 1
"Total";"016";"              1"; 12388; 704; 12388; 12388; 303; 253; 0; S; 1; 1
"Total";"016";"              2"; 15662; 1004; 15662; 15662; 174; 137; 0; S; 1; 1
"Total";"017";"Total"; 32986; 1806; 32986; 32986; 424; 350; 0; S; 1; 1
"Total";"017";"              1"; 13681; 775; 13681; 13681; 317; 260; 0; S; 1; 1
"Total";"017";"              2"; 19305; 1031; 19305; 19305; 424; 350; 0; S; 1; 1
"Total";"018";"Total"; 30472; 1769; 30472; 30472; 220; 217; 0; S; 1; 1
"Total";"018";"              1"; 12760; 786; 12760; 12760; 220; 198; 0; S; 1; 1
"Total";"018";"              2"; 17712; 983; 17712; 17712; 217; 179; 0; S; 1; 1
"Total";"019";"Total"; 30792; 1856; 30792; 30792; 222; 216; 0; S; 1; 1
"Total";"019";"              1"; 13509; 810; 13509; 13509; 216; 203; 0; S; 1; 1
"Total";"019";"              2"; 17283; 1046; 17283; 17283; 222; 166; 0; S; 1; 1
"Total";"20-29";"Total"; 310085; 18740; 310085; 310085; 863; 674; 0; S; 1; 1
"Total";"20-29";"              1"; 155122; 9426; 155122; 155122; 863; 674; 0; S; 1; 1
"Total";"20-29";"              2"; 154963; 9314; 154963; 154963; 392; 329; 0; S; 1; 1
"Total";"020";"Total"; 29076; 1810; 29076; 29076; 329; 299; 0; S; 1; 1
"Total";"020";"              1"; 13395; 828; 13395; 13395; 299; 174; 0; S; 1; 1
"Total";"020";"              2"; 15681; 982; 15681; 15681; 329; 257; 0; S; 1; 1
"Total";"021";"Total"; 31056; 1913; 31056; 31056; 256; 252; 0; S; 1; 1
"Total";"021";"              1"; 14504; 913; 14504; 14504; 252; 147; 0; S; 1; 1
"Total";"021";"              2"; 16552; 1000; 16552; 16552; 256; 221; 0; S; 1; 1
"Total";"022";"Total"; 30523; 1862; 30523; 30523; 392; 187; 0; S; 1; 1
"Total";"022";"              1"; 14266; 872; 14266; 14266; 187; 149; 0; S; 1; 1
"Total";"022";"              2"; 16257; 990; 16257; 16257; 392; 183; 0; S; 1; 1
"Total";"023";"Total"; 28988; 1886; 28988; 28988; 327; 194; 0; S; 1; 1
"Total";"023";"              1"; 13902; 946; 13902; 13902; 327; 194; 0; S; 1; 1
"Total";"023";"              2"; 15086; 940; 15086; 15086; 156; 131; 0; S; 1; 1
"Total";"024";"Total"; 30112; 1882; 30112; 30112; 674; 253; 0; S; 1; 1
"Total";"024";"              1"; 15811; 961; 15811; 15811; 674; 175; 0; S; 1; 1
"Total";"024";"              2"; 14301; 921; 14301; 14301; 253; 179; 0; S; 1; 1
"Total";"025";"Total"; 32866; 1910; 32866; 32866; 269; 245; 0; S; 1; 1
"Total";"025";"              1"; 16483; 987; 16483; 16483; 243; 223; 0; S; 1; 1
"Total";"025";"              2"; 16383; 923; 16383; 16383; 269; 245; 0; S; 1; 1
"Total";"026";"Total"; 31649; 1869; 31649; 31649; 217; 198; 0; S; 1; 1
"Total";"026";"              1"; 16284; 968; 16284; 16284; 198; 197; 0; S; 1; 1
"Total";"026";"              2"; 15365; 901; 15365; 15365; 217; 159; 0; S; 1; 1
"Total";"027";"Total"; 30831; 1821; 30831; 30831; 312; 264; 0; S; 1; 1
"Total";"027";"              1"; 16313; 943; 16313; 16313; 264; 167; 0; S; 1; 1
"Total";"027";"              2"; 14518; 878; 14518; 14518; 312; 180; 0; S; 1; 1
"Total";"028";"Total"; 33946; 1973; 33946; 33946; 863; 286; 0; S; 1; 1
"Total";"028";"              1"; 18027; 1045; 18027; 18027; 863; 219; 0; S; 1; 1
"Total";"028";"              2"; 15919; 928; 15919; 15919; 286; 246; 0; S; 1; 1
"Total";"029";"Total"; 31038; 1814; 31038; 31038; 278; 219; 0; S; 1; 1
"Total";"029";"              1"; 16137; 963; 16137; 16137; 215; 210; 0; S; 1; 1
"Total";"029";"              2"; 14901; 851; 14901; 14901; 278; 219; 0; S; 1; 1
"Total";"30-39";"Total"; 300538; 18156; 300538; 300538; 689; 649; 0; S; 1; 1
"Total";"30-39";"              1"; 153355; 9257; 153355; 153355; 649; 636; 0; S; 1; 1
"Total";"30-39";"              2"; 147183; 8899; 147183; 147183; 689; 450; 0; S; 1; 1
"Total";"030";"Total"; 31007; 1859; 31007; 31007; 636; 450; 0; S; 1; 1
"Total";"030";"              1"; 17136; 979; 17136; 17136; 636; 226; 0; S; 1; 1
"Total";"030";"              2"; 13871; 880; 13871; 13871; 450; 152; 0; S; 1; 1
