Var 1,"Total", 
,"Total","              1","              2"
"Total",132277,66021,66256,
"0-9",15257,3897,11360,
"000",793,58,735,
"001",1604,149,1455,
"002",1554,224,1330,
"003",1611,274,1337,
"004",1614,407,1207,
"005",1576,433,1143,
"006",1620,463,1157,
"007",1646,546,1100,
"008",1656,663,993,
"009",1583,680,903,
"10-19",17045,7502,9543,
"010",1619,747,872,
"011",1486,702,784,
"012",1679,781,898,
"013",1682,736,946,
"014",1677,712,965,
"015",1763,749,1014,
"016",1708,704,1004,
"017",1806,775,1031,
"018",1769,786,983,
"019",1856,810,1046,
"20-29",18740,9426,9314,
"020",1810,828,982,
"021",1913,913,1000,
"022",1862,872,990,
"023",1886,946,940,
"024",1882,961,921,
"025",1910,987,923,
"026",1869,968,901,
"027",1821,943,878,
"028",1973,1045,928,
"029",1814,963,851,
"30-39",18156,9257,8899,
"030",1859,979,880,
"031",1865,965,900,
"032",1817,957,860,
"033",1806,926,880,
"034",1784,877,907,
"035",1863,941,922,
"036",1806,902,904,
"037",1722,891,831,
"038",1808,920,888,
"039",1826,899,927,
"40-49",16816,8821,7995,
"040",1763,905,858,
"041",1712,890,822,
"042",1767,941,826,
"043",1604,817,787,
"044",1681,871,810,
"045",1727,921,806,
"046",1640,837,803,
"047",1673,919,754,
"048",1607,849,758,
"049",1642,871,771,
"50-59",16054,8001,8053,
"050",1641,825,816,
"051",1649,826,823,
"052",1602,807,795,
"053",1563,793,770,
"054",1679,831,848,
"055",1635,790,845,
"056",1649,794,855,
"057",1566,764,802,
"058",1505,729,776,
"059",1565,842,723,
"60-69",13678,8064,5614,
"060",1556,811,745,
"061",1504,811,693,
"062",1457,815,642,
"063",1392,784,608,
"064",1416,838,578,
"065",1340,805,535,
"066",1302,835,467,
"067",1264,790,474,
"068",1240,794,446,
"069",1207,781,426,
"70-79",9233,5624,3609,
"070",1154,728,426,
"071",1144,733,411,
"072",1059,663,396,
"073",978,591,387,
"074",930,579,351,
"075",822,487,335,
"076",878,516,362,
"077",777,441,336,
"078",775,450,325,
"079",716,436,280,
"80-89",5301,3592,1709,
"080",679,414,265,
"081",652,415,237,
"082",617,392,225,
"083",580,366,214,
"084",564,341,223,
"085",509,337,172,
"086",483,350,133,
"087",472,351,121,
"088",367,305,62,
"089",378,321,57,
"90-99",x,x,x,
"090",322,287,35,
"091",319,x,x,
"092",259,238,21,
"093",214,203,11,
"094",188,166,22,
"095",163,155,8,
"096",123,119,4,
"097",99,96,3,
"098",x,x,x,
"099",57,57,-,
"100-",x,x,x,
"100",46,46,-,
"101",43,43,-,
"102",x,x,x,
"103",x,x,x,
"104",x,x,-,
"105",12,12,-,
"106",10,10,-,
"107",x,x,-,
"108",4,4,-,
"109",x,x,-,

Var 1,"18", 
,"Total","              1","              2"
"Total",132277,66021,66256,
"0-9",15257,3897,11360,
"000",793,58,735,
"001",1604,149,1455,
"002",1554,224,1330,
"003",1611,274,1337,
"004",1614,407,1207,
"005",1576,433,1143,
"006",1620,463,1157,
"007",1646,546,1100,
"008",1656,663,993,
"009",1583,680,903,
"10-19",17045,7502,9543,
"010",1619,747,872,
"011",1486,702,784,
"012",1679,781,898,
"013",1682,736,946,
"014",1677,712,965,
"015",1763,749,1014,
"016",1708,704,1004,
"017",1806,775,1031,
"018",1769,786,983,
"019",1856,810,1046,
"20-29",18740,9426,9314,
"020",1810,828,982,
"021",1913,913,1000,
"022",1862,872,990,
"023",1886,946,940,
"024",1882,961,921,
"025",1910,987,923,
"026",1869,968,901,
"027",1821,943,878,
"028",1973,1045,928,
"029",1814,963,851,
"30-39",18156,9257,8899,
"030",1859,979,880,
"031",1865,965,900,
"032",1817,957,860,
"033",1806,926,880,
"034",1784,877,907,
"035",1863,941,922,
"036",1806,902,904,
"037",1722,891,831,
"038",1808,920,888,
"039",1826,899,927,
"40-49",16816,8821,7995,
"040",1763,905,858,
"041",1712,890,822,
"042",1767,941,826,
"043",1604,817,787,
"044",1681,871,810,
"045",1727,921,806,
"046",1640,837,803,
"047",1673,919,754,
"048",1607,849,758,
"049",1642,871,771,
"50-59",16054,8001,8053,
"050",1641,825,816,
"051",1649,826,823,
"052",1602,807,795,
"053",1563,793,770,
"054",1679,831,848,
"055",1635,790,845,
"056",1649,794,855,
"057",1566,764,802,
"058",1505,729,776,
"059",1565,842,723,
"60-69",13678,8064,5614,
"060",1556,811,745,
"061",1504,811,693,
"062",1457,815,642,
"063",1392,784,608,
"064",1416,838,578,
"065",1340,805,535,
"066",1302,835,467,
"067",1264,790,474,
"068",1240,794,446,
"069",1207,781,426,
"70-79",9233,5624,3609,
"070",1154,728,426,
"071",1144,733,411,
"072",1059,663,396,
"073",978,591,387,
"074",930,579,351,
"075",822,487,335,
"076",878,516,362,
"077",777,441,336,
"078",775,450,325,
"079",716,436,280,
"80-89",5301,3592,1709,
"080",679,414,265,
"081",652,415,237,
"082",617,392,225,
"083",580,366,214,
"084",564,341,223,
"085",509,337,172,
"086",483,350,133,
"087",472,351,121,
"088",367,305,62,
"089",378,321,57,
"90-99",x,x,x,
"090",322,287,35,
"091",319,x,x,
"092",259,238,21,
"093",214,203,11,
"094",188,166,22,
"095",163,155,8,
"096",123,119,4,
"097",99,96,3,
"098",x,x,x,
"099",57,57,-,
"100-",x,x,x,
"100",46,46,-,
"101",43,43,-,
"102",x,x,x,
"103",x,x,x,
"104",x,x,-,
"105",12,12,-,
"106",10,10,-,
"107",x,x,-,
"108",4,4,-,
"109",x,x,-,

Var 1,"1880", 
,"Total","              1","              2"
"Total",132277,66021,66256,
"0-9",15257,3897,11360,
"000",793,58,735,
"001",1604,149,1455,
"002",1554,224,1330,
"003",1611,274,1337,
"004",1614,407,1207,
"005",1576,433,1143,
"006",1620,463,1157,
"007",1646,546,1100,
"008",1656,663,993,
"009",1583,680,903,
"10-19",17045,7502,9543,
"010",1619,747,872,
"011",1486,702,784,
"012",1679,781,898,
"013",1682,736,946,
"014",1677,712,965,
"015",1763,749,1014,
"016",1708,704,1004,
"017",1806,775,1031,
"018",1769,786,983,
"019",1856,810,1046,
"20-29",18740,9426,9314,
"020",1810,828,982,
"021",1913,913,1000,
"022",1862,872,990,
"023",1886,946,940,
"024",1882,961,921,
"025",1910,987,923,
"026",1869,968,901,
"027",1821,943,878,
"028",1973,1045,928,
"029",1814,963,851,
"30-39",18156,9257,8899,
"030",1859,979,880,
"031",1865,965,900,
"032",1817,957,860,
"033",1806,926,880,
"034",1784,877,907,
"035",1863,941,922,
"036",1806,902,904,
"037",1722,891,831,
"038",1808,920,888,
"039",1826,899,927,
"40-49",16816,8821,7995,
"040",1763,905,858,
"041",1712,890,822,
"042",1767,941,826,
"043",1604,817,787,
"044",1681,871,810,
"045",1727,921,806,
"046",1640,837,803,
"047",1673,919,754,
"048",1607,849,758,
"049",1642,871,771,
"50-59",16054,8001,8053,
"050",1641,825,816,
"051",1649,826,823,
"052",1602,807,795,
"053",1563,793,770,
"054",1679,831,848,
"055",1635,790,845,
"056",1649,794,855,
"057",1566,764,802,
"058",1505,729,776,
"059",1565,842,723,
"60-69",13678,8064,5614,
"060",1556,811,745,
"061",1504,811,693,
"062",1457,815,642,
"063",1392,784,608,
"064",1416,838,578,
"065",1340,805,535,
"066",1302,835,467,
"067",1264,790,474,
"068",1240,794,446,
"069",1207,781,426,
"70-79",9233,5624,3609,
"070",1154,728,426,
"071",1144,733,411,
"072",1059,663,396,
"073",978,591,387,
"074",930,579,351,
"075",822,487,335,
"076",878,516,362,
"077",777,441,336,
"078",775,450,325,
"079",716,436,280,
"80-89",5301,3592,1709,
"080",679,414,265,
"081",652,415,237,
"082",617,392,225,
"083",580,366,214,
"084",564,341,223,
"085",509,337,172,
"086",483,350,133,
"087",472,351,121,
"088",367,305,62,
"089",378,321,57,
"90-99",x,x,x,
"090",322,287,35,
"091",319,x,x,
"092",259,238,21,
"093",214,203,11,
"094",188,166,22,
"095",163,155,8,
"096",123,119,4,
"097",99,96,3,
"098",x,x,x,
"099",57,57,-,
"100-",x,x,x,
"100",46,46,-,
"101",43,43,-,
"102",x,x,x,
"103",x,x,x,
"104",x,x,-,
"105",12,12,-,
"106",10,10,-,
"107",x,x,-,
"108",4,4,-,
"109",x,x,-,

Var 1,"188001", 
,"Total","              1","              2"
"Total",17817,8952,8865,
"0-9",1243,307,936,
"000",62,4,58,
"001",114,13,101,
"002",123,21,102,
"003",137,28,109,
"004",146,41,105,
"005",127,26,101,
"006",127,34,93,
"007",141,45,96,
"008",138,47,91,
"009",128,48,80,
"10-19",1858,578,1280,
"010",140,60,80,
"011",148,53,95,
"012",159,56,103,
"013",177,53,124,
"014",160,44,116,
"015",188,60,128,
"016",192,54,138,
"017",211,54,157,
"018",236,73,163,
"019",247,71,176,
"20-29",2720,1263,1457,
"020",240,80,160,
"021",271,104,167,
"022",268,102,166,
"023",257,106,151,
"024",279,122,157,
"025",271,122,149,
"026",261,134,127,
"027",274,139,135,
"028",311,181,130,
"029",288,173,115,
"30-39",2487,1465,1022,
"030",256,150,106,
"031",278,155,123,
"032",287,181,106,
"033",239,148,91,
"034",223,139,84,
"035",252,155,97,
"036",252,155,97,
"037",221,130,91,
"038",230,130,100,
"039",249,122,127,
"40-49",2050,1012,1038,
"040",213,120,93,
"041",219,111,108,
"042",202,108,94,
"043",202,107,95,
"044",199,96,103,
"045",202,93,109,
"046",196,90,106,
"047",200,96,104,
"048",201,93,108,
"049",216,98,118,
"50-59",2278,1081,1197,
"050",224,91,133,
"051",195,96,99,
"052",241,117,124,
"053",224,101,123,
"054",259,135,124,
"055",270,119,151,
"056",238,109,129,
"057",227,108,119,
"058",203,106,97,
"059",197,99,98,
"60-69",2140,1264,876,
"060",244,127,117,
"061",235,134,101,
"062",220,122,98,
"063",219,122,97,
"064",198,112,86,
"065",226,140,86,
"066",215,147,68,
"067",215,130,85,
"068",187,117,70,
"069",181,113,68,
"70-79",1521,873,648,
"070",174,112,62,
"071",171,115,56,
"072",170,106,64,
"073",159,79,80,
"074",160,85,75,
"075",124,67,57,
"076",169,98,71,
"077",123,62,61,
"078",146,79,67,
"079",125,70,55,
"80-89",1062,694,368,
"080",133,82,51,
"081",118,64,54,
"082",131,80,51,
"083",110,67,43,
"084",117,72,45,
"085",98,61,37,
"086",100,70,30,
"087",83,63,20,
"088",80,62,18,
"089",92,73,19,
"90-99",414,371,43,
"090",79,x,x,
"091",x,x,x,
"092",65,59,6,
"093",x,x,x,
"094",x,x,x,
"095",x,x,x,
"096",21,21,-,
"097",20,20,-,
"098",x,x,x,
"099",15,15,-,
"100-",44,44,-,
"100",8,8,-,
"101",x,x,-,
"102",x,x,-,
"103",x,x,-,
"104",x,x,-,
"105",x,x,-,
"106",x,x,-,
"107",x,x,-,
"108",x,x,-,
"109",x,x,-,

Var 1,"188002", 
,"Total","              1","              2"
"Total",20660,10283,10377,
"0-9",1488,363,1125,
"000",84,9,75,
"001",177,19,158,
"002",138,24,114,
"003",150,21,129,
"004",144,47,97,
"005",155,40,115,
"006",148,36,112,
"007",167,48,119,
"008",175,67,108,
"009",150,52,98,
"10-19",2198,688,1510,
"010",177,80,97,
"011",174,72,102,
"012",150,48,102,
"013",195,72,123,
"014",208,71,137,
"015",227,52,175,
"016",248,63,185,
"017",246,72,174,
"018",267,72,195,
"019",306,86,220,
"20-29",3419,1545,1874,
"020",327,89,238,
"021",310,104,206,
"022",341,105,236,
"023",345,150,195,
"024",349,157,192,
"025",336,150,186,
"026",350,179,171,
"027",346,189,157,
"028",381,227,154,
"029",334,195,139,
"30-39",3170,1881,1289,
"030",342,189,153,
"031",346,227,119,
"032",350,214,136,
"033",334,210,124,
"034",325,200,125,
"035",344,207,137,
"036",308,164,144,
"037",283,166,117,
"038",271,151,120,
"039",267,153,114,
"40-49",2432,1271,1161,
"040",261,129,132,
"041",244,138,106,
"042",283,148,135,
"043",219,115,104,
"044",230,124,106,
"045",254,129,125,
"046",219,113,106,
"047",244,136,108,
"048",243,119,124,
"049",235,120,115,
"50-59",2437,1182,1255,
"050",215,102,113,
"051",238,88,150,
"052",245,123,122,
"053",245,119,126,
"054",299,138,161,
"055",251,134,117,
"056",242,124,118,
"057",226,105,121,
"058",232,119,113,
"059",244,130,114,
"60-69",2184,1250,934,
"060",246,128,118,
"061",239,119,120,
"062",227,130,97,
"063",212,103,109,
"064",208,108,100,
"065",203,131,72,
"066",217,141,76,
"067",216,129,87,
"068",190,122,68,
"069",226,139,87,
"70-79",1660,909,751,
"070",166,97,69,
"071",200,108,92,
"072",208,121,87,
"073",174,93,81,
"074",156,88,68,
"075",164,91,73,
"076",148,79,69,
"077",160,88,72,
"078",144,67,77,
"079",140,77,63,
"80-89",1181,746,435,
"080",161,86,75,
"081",129,71,58,
"082",155,94,61,
"083",122,70,52,
"084",117,66,51,
"085",112,56,56,
"086",100,69,31,
"087",109,82,27,
"088",93,82,11,
"089",83,70,13,
"90-99",446,403,43,
"090",79,66,13,
"091",89,x,x,
"092",66,63,3,
"093",57,x,x,
"094",43,x,x,
"095",32,32,-,
"096",35,x,x,
"097",22,x,x,
"098",12,12,-,
"099",11,11,-,
"100-",45,45,-,
"100",10,10,-,
"101",11,11,-,
