"Total";"Total";"Total"; 132277; 132277; 132277; 132277; S; 1; 1
"Total";"Total";"              1"; 66021; 66021; 66021; 66021; S; 1; 1
"Total";"Total";"              2"; 66256; 66256; 66256; 66256; S; 1; 1
"Total";"0-9";"Total"; 15257; 15257; 15257; 15257; S; 1; 1
"Total";"0-9";"              1"; 3897; 3897; 3897; 3897; S; 1; 1
"Total";"0-9";"              2"; 11360; 11360; 11360; 11360; S; 1; 1
"Total";"000";"Total"; 793; 793; 793; 793; S; 1; 1
"Total";"000";"              1"; 58; 58; 58; 58; S; 1; 1
"Total";"000";"              2"; 735; 735; 735; 735; S; 1; 1
"Total";"001";"Total"; 1604; 1604; 1604; 1604; S; 1; 1
"Total";"001";"              1"; 149; 149; 149; 149; S; 1; 1
"Total";"001";"              2"; 1455; 1455; 1455; 1455; S; 1; 1
"Total";"002";"Total"; 1554; 1554; 1554; 1554; S; 1; 1
"Total";"002";"              1"; 224; 224; 224; 224; S; 1; 1
"Total";"002";"              2"; 1330; 1330; 1330; 1330; S; 1; 1
"Total";"003";"Total"; 1611; 1611; 1611; 1611; S; 1; 1
"Total";"003";"              1"; 274; 274; 274; 274; S; 1; 1
"Total";"003";"              2"; 1337; 1337; 1337; 1337; S; 1; 1
"Total";"004";"Total"; 1614; 1614; 1614; 1614; S; 1; 1
"Total";"004";"              1"; 407; 407; 407; 407; S; 1; 1
"Total";"004";"              2"; 1207; 1207; 1207; 1207; S; 1; 1
"Total";"005";"Total"; 1576; 1576; 1576; 1576; S; 1; 1
"Total";"005";"              1"; 433; 433; 433; 433; S; 1; 1
"Total";"005";"              2"; 1143; 1143; 1143; 1143; S; 1; 1
"Total";"006";"Total"; 1620; 1620; 1620; 1620; S; 1; 1
"Total";"006";"              1"; 463; 463; 463; 463; S; 1; 1
"Total";"006";"              2"; 1157; 1157; 1157; 1157; S; 1; 1
"Total";"007";"Total"; 1646; 1646; 1646; 1646; S; 1; 1
"Total";"007";"              1"; 546; 546; 546; 546; S; 1; 1
"Total";"007";"              2"; 1100; 1100; 1100; 1100; S; 1; 1
"Total";"008";"Total"; 1656; 1656; 1656; 1656; S; 1; 1
"Total";"008";"              1"; 663; 663; 663; 663; S; 1; 1
"Total";"008";"              2"; 993; 993; 993; 993; S; 1; 1
"Total";"009";"Total"; 1583; 1583; 1583; 1583; S; 1; 1
"Total";"009";"              1"; 680; 680; 680; 680; S; 1; 1
"Total";"009";"              2"; 903; 903; 903; 903; S; 1; 1
"Total";"10-19";"Total"; 17045; 17045; 17045; 17045; S; 1; 1
"Total";"10-19";"              1"; 7502; 7502; 7502; 7502; S; 1; 1
"Total";"10-19";"              2"; 9543; 9543; 9543; 9543; S; 1; 1
"Total";"010";"Total"; 1619; 1619; 1619; 1619; S; 1; 1
"Total";"010";"              1"; 747; 747; 747; 747; S; 1; 1
"Total";"010";"              2"; 872; 872; 872; 872; S; 1; 1
"Total";"011";"Total"; 1486; 1486; 1486; 1486; S; 1; 1
"Total";"011";"              1"; 702; 702; 702; 702; S; 1; 1
"Total";"011";"              2"; 784; 784; 784; 784; S; 1; 1
"Total";"012";"Total"; 1679; 1679; 1679; 1679; S; 1; 1
"Total";"012";"              1"; 781; 781; 781; 781; S; 1; 1
"Total";"012";"              2"; 898; 898; 898; 898; S; 1; 1
"Total";"013";"Total"; 1682; 1682; 1682; 1682; S; 1; 1
"Total";"013";"              1"; 736; 736; 736; 736; S; 1; 1
"Total";"013";"              2"; 946; 946; 946; 946; S; 1; 1
"Total";"014";"Total"; 1677; 1677; 1677; 1677; S; 1; 1
"Total";"014";"              1"; 712; 712; 712; 712; S; 1; 1
"Total";"014";"              2"; 965; 965; 965; 965; S; 1; 1
"Total";"015";"Total"; 1763; 1763; 1763; 1763; S; 1; 1
"Total";"015";"              1"; 749; 749; 749; 749; S; 1; 1
"Total";"015";"              2"; 1014; 1014; 1014; 1014; S; 1; 1
"Total";"016";"Total"; 1708; 1708; 1708; 1708; S; 1; 1
"Total";"016";"              1"; 704; 704; 704; 704; S; 1; 1
"Total";"016";"              2"; 1004; 1004; 1004; 1004; S; 1; 1
"Total";"017";"Total"; 1806; 1806; 1806; 1806; S; 1; 1
"Total";"017";"              1"; 775; 775; 775; 775; S; 1; 1
"Total";"017";"              2"; 1031; 1031; 1031; 1031; S; 1; 1
"Total";"018";"Total"; 1769; 1769; 1769; 1769; S; 1; 1
"Total";"018";"              1"; 786; 786; 786; 786; S; 1; 1
"Total";"018";"              2"; 983; 983; 983; 983; S; 1; 1
"Total";"019";"Total"; 1856; 1856; 1856; 1856; S; 1; 1
"Total";"019";"              1"; 810; 810; 810; 810; S; 1; 1
"Total";"019";"              2"; 1046; 1046; 1046; 1046; S; 1; 1
"Total";"20-29";"Total"; 18740; 18740; 18740; 18740; S; 1; 1
"Total";"20-29";"              1"; 9426; 9426; 9426; 9426; S; 1; 1
"Total";"20-29";"              2"; 9314; 9314; 9314; 9314; S; 1; 1
"Total";"020";"Total"; 1810; 1810; 1810; 1810; S; 1; 1
"Total";"020";"              1"; 828; 828; 828; 828; S; 1; 1
"Total";"020";"              2"; 982; 982; 982; 982; S; 1; 1
"Total";"021";"Total"; 1913; 1913; 1913; 1913; S; 1; 1
"Total";"021";"              1"; 913; 913; 913; 913; S; 1; 1
"Total";"021";"              2"; 1000; 1000; 1000; 1000; S; 1; 1
"Total";"022";"Total"; 1862; 1862; 1862; 1862; S; 1; 1
"Total";"022";"              1"; 872; 872; 872; 872; S; 1; 1
"Total";"022";"              2"; 990; 990; 990; 990; S; 1; 1
"Total";"023";"Total"; 1886; 1886; 1886; 1886; S; 1; 1
"Total";"023";"              1"; 946; 946; 946; 946; S; 1; 1
"Total";"023";"              2"; 940; 940; 940; 940; S; 1; 1
"Total";"024";"Total"; 1882; 1882; 1882; 1882; S; 1; 1
"Total";"024";"              1"; 961; 961; 961; 961; S; 1; 1
"Total";"024";"              2"; 921; 921; 921; 921; S; 1; 1
"Total";"025";"Total"; 1910; 1910; 1910; 1910; S; 1; 1
"Total";"025";"              1"; 987; 987; 987; 987; S; 1; 1
"Total";"025";"              2"; 923; 923; 923; 923; S; 1; 1
"Total";"026";"Total"; 1869; 1869; 1869; 1869; S; 1; 1
"Total";"026";"              1"; 968; 968; 968; 968; S; 1; 1
"Total";"026";"              2"; 901; 901; 901; 901; S; 1; 1
"Total";"027";"Total"; 1821; 1821; 1821; 1821; S; 1; 1
"Total";"027";"              1"; 943; 943; 943; 943; S; 1; 1
"Total";"027";"              2"; 878; 878; 878; 878; S; 1; 1
"Total";"028";"Total"; 1973; 1973; 1973; 1973; S; 1; 1
"Total";"028";"              1"; 1045; 1045; 1045; 1045; S; 1; 1
"Total";"028";"              2"; 928; 928; 928; 928; S; 1; 1
"Total";"029";"Total"; 1814; 1814; 1814; 1814; S; 1; 1
"Total";"029";"              1"; 963; 963; 963; 963; S; 1; 1
"Total";"029";"              2"; 851; 851; 851; 851; S; 1; 1
"Total";"30-39";"Total"; 18156; 18156; 18156; 18156; S; 1; 1
"Total";"30-39";"              1"; 9257; 9257; 9257; 9257; S; 1; 1
"Total";"30-39";"              2"; 8899; 8899; 8899; 8899; S; 1; 1
"Total";"030";"Total"; 1859; 1859; 1859; 1859; S; 1; 1
"Total";"030";"              1"; 979; 979; 979; 979; S; 1; 1
"Total";"030";"              2"; 880; 880; 880; 880; S; 1; 1
"Total";"031";"Total"; 1865; 1865; 1865; 1865; S; 1; 1
"Total";"031";"              1"; 965; 965; 965; 965; S; 1; 1
"Total";"031";"              2"; 900; 900; 900; 900; S; 1; 1
"Total";"032";"Total"; 1817; 1817; 1817; 1817; S; 1; 1
"Total";"032";"              1"; 957; 957; 957; 957; S; 1; 1
"Total";"032";"              2"; 860; 860; 860; 860; S; 1; 1
"Total";"033";"Total"; 1806; 1806; 1806; 1806; S; 1; 1
"Total";"033";"              1"; 926; 926; 926; 926; S; 1; 1
"Total";"033";"              2"; 880; 880; 880; 880; S; 1; 1
"Total";"034";"Total"; 1784; 1784; 1784; 1784; S; 1; 1
"Total";"034";"              1"; 877; 877; 877; 877; S; 1; 1
"Total";"034";"              2"; 907; 907; 907; 907; S; 1; 1
"Total";"035";"Total"; 1863; 1863; 1863; 1863; S; 1; 1
"Total";"035";"              1"; 941; 941; 941; 941; S; 1; 1
"Total";"035";"              2"; 922; 922; 922; 922; S; 1; 1
"Total";"036";"Total"; 1806; 1806; 1806; 1806; S; 1; 1
"Total";"036";"              1"; 902; 902; 902; 902; S; 1; 1
"Total";"036";"              2"; 904; 904; 904; 904; S; 1; 1
"Total";"037";"Total"; 1722; 1722; 1722; 1722; S; 1; 1
"Total";"037";"              1"; 891; 891; 891; 891; S; 1; 1
"Total";"037";"              2"; 831; 831; 831; 831; S; 1; 1
"Total";"038";"Total"; 1808; 1808; 1808; 1808; S; 1; 1
"Total";"038";"              1"; 920; 920; 920; 920; S; 1; 1
"Total";"038";"              2"; 888; 888; 888; 888; S; 1; 1
"Total";"039";"Total"; 1826; 1826; 1826; 1826; S; 1; 1
"Total";"039";"              1"; 899; 899; 899; 899; S; 1; 1
"Total";"039";"              2"; 927; 927; 927; 927; S; 1; 1
"Total";"40-49";"Total"; 16816; 16816; 16816; 16816; S; 1; 1
"Total";"40-49";"              1"; 8821; 8821; 8821; 8821; S; 1; 1
"Total";"40-49";"              2"; 7995; 7995; 7995; 7995; S; 1; 1
"Total";"040";"Total"; 1763; 1763; 1763; 1763; S; 1; 1
"Total";"040";"              1"; 905; 905; 905; 905; S; 1; 1
"Total";"040";"              2"; 858; 858; 858; 858; S; 1; 1
"Total";"041";"Total"; 1712; 1712; 1712; 1712; S; 1; 1
"Total";"041";"              1"; 890; 890; 890; 890; S; 1; 1
"Total";"041";"              2"; 822; 822; 822; 822; S; 1; 1
"Total";"042";"Total"; 1767; 1767; 1767; 1767; S; 1; 1
"Total";"042";"              1"; 941; 941; 941; 941; S; 1; 1
"Total";"042";"              2"; 826; 826; 826; 826; S; 1; 1
"Total";"043";"Total"; 1604; 1604; 1604; 1604; S; 1; 1
"Total";"043";"              1"; 817; 817; 817; 817; S; 1; 1
"Total";"043";"              2"; 787; 787; 787; 787; S; 1; 1
"Total";"044";"Total"; 1681; 1681; 1681; 1681; S; 1; 1
"Total";"044";"              1"; 871; 871; 871; 871; S; 1; 1
"Total";"044";"              2"; 810; 810; 810; 810; S; 1; 1
"Total";"045";"Total"; 1727; 1727; 1727; 1727; S; 1; 1
"Total";"045";"              1"; 921; 921; 921; 921; S; 1; 1
"Total";"045";"              2"; 806; 806; 806; 806; S; 1; 1
"Total";"046";"Total"; 1640; 1640; 1640; 1640; S; 1; 1
