"T","T",1173360,7169,3279
"T","1814",27247,1063,962
"T","1860",26393,1112,802
"T","1861",66086,3279,1649
"T","1862",41231,1065,756
"T","1863",34872,1627,1121
"T","1864",27319,1969,1426
"T","1880",522954,2891,2629
"T","1881",84793,2878,1861
"T","1882",57126,7169,2144
"T","1883",134315,3156,1422
"T","1884",49310,2287,1714
"T","1885",101714,3196,1674
"11","T",66728,1421,1065
"12","T",66884,1214,1112
"13","T",83763,3156,2891
"14","T",69504,1627,1121
"15","T",60664,1228,916
"16","T",62769,1649,1422
"17","T",75859,3196,1969
"18","T",75490,1714,943
"19","T",73843,3279,1339
"20","T",75241,2287,1506
"21","T",84161,2144,1674
"22","T",90660,2629,1009
"23","T",65608,1028,945
"24","T",57020,7169,1705
"25","T",46550,1275,936
"26","T",40160,1022,795
"27","T",32862,987,624
"28","T",17591,2878,884
"29","T",7378,508,468
"30","T",20303,652,599
"31","T",322,72,62
"11","1814",2114,512,291
"11","1860",1243,222,208
"11","1861",3212,790,223
"11","1862",2484,1065,212
"11","1863",1099,398,189
"11","1864",932,400,137
"11","1880",31864,1031,944
"11","1881",7219,747,451
"11","1882",2923,357,298
"11","1883",7358,1421,403
"11","1884",1518,236,106
"11","1885",4762,757,702
"12","1814",1089,160,139
"12","1860",2687,1112,362
"12","1861",2843,277,259
"12","1862",1703,193,168
"12","1863",1547,281,241
"12","1864",1512,794,182
"12","1880",31472,1059,950
"12","1881",5330,707,379
"12","1882",2197,333,280
"12","1883",8739,1214,702
"12","1884",2479,334,297
"12","1885",5286,776,370
"13","1814",1608,168,165
"13","1860",2402,468,377
"13","1861",4808,459,432
"13","1862",4203,551,443
"13","1863",2046,224,218
"13","1864",3079,1426,890
"13","1880",34600,2891,749
"13","1881",7033,1861,662
"13","1882",2758,297,270
"13","1883",11376,3156,531
"13","1884",2501,262,242
"13","1885",7349,783,678
"14","1814",1331,213,120
"14","1860",1747,584,262
"14","1861",3562,1094,626
"14","1862",2110,417,211
"14","1863",4154,1627,1121
"14","1864",981,442,122
"14","1880",32145,893,858
"14","1881",4345,913,318
"14","1882",2432,715,347
"14","1883",8131,854,851
"14","1884",2339,364,201
"14","1885",6227,941,402
"15","1814",797,122,120
"15","1860",921,173,133
"15","1861",2545,589,179
"15","1862",1813,458,408
"15","1863",2032,654,348
"15","1864",398,84,80
"15","1880",38301,1228,916
"15","1881",2005,301,201
"15","1882",1627,229,226
"15","1883",4588,782,319
"15","1884",1132,250,165
"15","1885",4505,474,378
"16","1814",2227,962,277
"16","1860",1399,802,177
"16","1861",4450,1649,548
"16","1862",989,232,128
"16","1863",722,166,85
"16","1864",906,393,169
"16","1880",32605,925,865
"16","1881",3560,450,238
"16","1882",1613,312,153
"16","1883",8235,1422,730
"16","1884",2361,527,384
"16","1885",3702,777,244
"17","1814",1881,626,303
"17","1860",1367,321,208
"17","1861",2987,322,278
"17","1862",3832,506,470
"17","1863",1136,132,128
"17","1864",3110,1969,310
"17","1880",36141,1604,763
"17","1881",4841,368,211
"17","1882",2681,342,312
"17","1883",6677,687,444
"17","1884",2281,307,267
"17","1885",8925,3196,765
"18","1814",1649,749,151
"18","1860",2119,454,349
"18","1861",3400,342,294
"18","1862",2464,262,186
"18","1863",3108,887,244
"18","1864",963,186,133
"18","1880",32128,881,587
"18","1881",5401,361,356
"18","1882",3134,458,370
"18","1883",9680,821,799
"18","1884",5502,1714,943
"18","1885",5942,419,370
"19","1814",1705,584,271
"19","1860",1854,327,295
"19","1861",7347,3279,687
"19","1862",2436,443,353
"19","1863",1253,284,255
"19","1864",1715,279,232
"19","1880",31787,1339,1090
"19","1881",4731,336,285
"19","1882",3348,995,304
"19","1883",8863,834,594
"19","1884",2482,379,284
"19","1885",6322,511,456
"20","1814",2307,1063,244
"20","1860",1505,264,199
"20","1861",3940,861,320
"20","1862",1540,154,118
"20","1863",2062,610,444
"20","1864",960,146,123
"20","1880",30408,1000,648
"20","1881",7296,1506,832
"20","1882",3261,458,376
"20","1883",8491,830,623
"20","1884",6216,2287,780
"20","1885",7255,694,631
"21","1814",1871,290,243
"21","1860",1671,299,264
"21","1861",5109,380,293
"21","1862",2046,243,159
"21","1863",2679,681,273
"21","1864",1949,503,208
"21","1880",35821,1018,895
"21","1881",6570,722,524
"21","1882",6354,2144,604
"21","1883",7808,681,432
"21","1884",4233,597,478
"21","1885",8050,1674,766
"22","1814",2516,362,288
"22","1860",1121,243,108
"22","1861",5157,620,516
"22","1862",3414,348,303
"22","1863",1382,190,162
"22","1864",2393,1009,580
"22","1880",41498,2629,955
"22","1881",5713,530,516
"22","1882",5351,688,511
"22","1883",10275,484,443
"22","1884",3842,464,371
"22","1885",7998,430,424
"23","1814",1465,260,225
"23","1860",1299,319,252
"23","1861",4241,863,678
"23","1862",2451,330,294
"23","1863",3300,945,303
"23","1864",2786,1028,359
"23","1880",26683,800,767
"23","1881",3478,510,287
"23","1882",1920,223,141
"23","1883",9938,705,641
"23","1884",2344,471,176
"23","1885",5703,477,448
"24","1814",1794,689,364
"24","1860",800,156,122
"24","1861",2420,406,377
"24","1862",2125,471,302
"24","1863",1987,617,393
"24","1864",1641,779,442
"24","1880",20456,1705,771
"24","1881",3585,1092,330
"24","1882",9562,7169,813
"24","1883",5855,478,401
"24","1884",1616,464,190
"24","1885",5179,845,494
"25","1814",635,165,100
"25","1860",1234,238,209
"25","1861",1987,358,220
"25","1862",2002,289,270
"25","1863",1904,461,223
"25","1864",1126,292,177
"25","1880",18732,1275,926
"25","1881",3087,519,486
"25","1882",1819,713,226
"25","1883",5114,416,326
"25","1884",4065,747,704
"25","1885",4845,936,385
"26","1814",949,287,162
"26","1860",1313,302,241
"26","1861",3393,1022,535
"26","1862",2755,756,573
"26","1863",1409,175,152
"26","1864",862,220,157
"26","1880",16818,795,727
"26","1881",2624,613,270
"26","1882",1309,285,205
"26","1883",4699,495,450
"26","1884",1181,227,215
"26","1885",2848,297,233
"27","1814",626,369,119
"27","1860",513,106,99
"27","1861",2307,446,297
"27","1862",1371,489,196
"27","1863",1426,287,249
"27","1864",1187,261,233
"27","1880",12233,624,434
"27","1881",2643,987,321
"27","1882",2304,571,524
"27","1883",3722,536,343
"27","1884",966,239,113
"27","1885",3564,450,374
"28","1814",343,106,102
"28","1860",641,547,41
"28","1861",503,193,68
"28","1862",289,141,52
"28","1863",250,76,75
"28","1864",412,153,104
"28","1880",7249,491,426
"28","1881",4191,2878,884
"28","1882",371,120,117
"28","1883",1655,197,175
"28","1884",838,208,198
"28","1885",849,155,121
"29","1814",222,218,4
"29","1860",258,97,89
"29","1861",647,234,188
"29","1862",648,428,197
"29","1863",57,34,15
"29","1864",72,47,25
"29","1880",3290,508,455
"29","1881",206,78,61
"29","1882",123,53,43
"29","1883",964,408,183
"29","1884",186,145,23
"29","1885",705,468,101
"30","1814",88,73,10
"30","1860",299,110,105
"30","1861",1228,304,275
"30","1862",544,202,146
"30","1863",1232,302,248
"30","1864",335,102,99
"30","1880",8622,599,461
"30","1881",935,344,128
"30","1882",2039,480,299
"30","1883",2117,264,190
"30","1884",1166,652,171
"30","1885",1698,404,347
"31","1814",30,30,.
"31","1862",12,12,.
"31","1863",87,72,9
"31","1880",101,31,31
"31","1883",30,30,.
"31","1884",62,62,.
